  0.1738000000000000E+04,  0.4902801076000000E+04,  0.8100000000000000E-04,  150,  150,    1,  0.0000000000000000E+00,  0.0000000000000000E+00                                                                                                         
    1,    0,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00             
    1,    1,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00             
    2,    0, -0.9090109494810000E-04,  0.0000000000000000E+00,  0.5347973390320000E-08,  0.0000000000000000E+00             
    2,    1, -0.1862736081840000E-08, -0.1424538946100000E-08,  0.4408583304780000E-08,  0.3347850650280000E-08             
    2,    2,  0.3463762742080000E-04,  0.1440635035400000E-07,  0.3707671030470000E-08,  0.3003129828600000E-08             
    3,    0, -0.3203071679590000E-05,  0.0000000000000000E+00,  0.6255504586160000E-08,  0.0000000000000000E+00             
    3,    1,  0.2634183586220000E-04,  0.5463078608820000E-05,  0.7794902130140000E-08,  0.4374236893120000E-08             
    3,    2,  0.1418533167860000E-04,  0.4889139117950000E-05,  0.6681010233190000E-08,  0.5928400425010000E-08             
    3,    3,  0.1228626450440000E-04, -0.1782462707200000E-05,  0.4506189348710000E-08,  0.4523649274120000E-08             
    4,    0,  0.3214095450280000E-05,  0.0000000000000000E+00,  0.7664227273329999E-08,  0.0000000000000000E+00             
    4,    1, -0.6000619397400000E-05,  0.1659556447270000E-05,  0.8683884664520000E-08,  0.5391918479270000E-08             
    4,    2, -0.7093701015440000E-05, -0.6785627355580000E-05,  0.1024616813030000E-07,  0.8845340531820000E-08             
    4,    3, -0.1358804665940000E-05, -0.1343325717370000E-04,  0.8910787926220001E-08,  0.8806334122549999E-08             
    4,    4, -0.6029391501930000E-05,  0.3935256944400000E-05,  0.6279718844630000E-08,  0.5359934115780000E-08             
    5,    0, -0.2210098763930000E-06,  0.0000000000000000E+00,  0.7221791964670000E-08,  0.0000000000000000E+00             
    5,    1, -0.1035608126300000E-05, -0.4115857266810000E-05,  0.8326116712230000E-08,  0.5315968719240000E-08             
    5,    2,  0.4381276093760000E-05,  0.1095025265510000E-05,  0.1070641134330000E-07,  0.1080671012240000E-07             
    5,    3,  0.4546942284370000E-06,  0.8701521465910000E-05,  0.1476620628750000E-07,  0.1371112014680000E-07             
    5,    4,  0.2772791043900000E-05,  0.3077937122970000E-07,  0.1431113074980000E-07,  0.1396626847490000E-07             
    5,    5,  0.3126877268440000E-05, -0.2753862006690000E-05,  0.8346601538490000E-08,  0.7640381488040001E-08             
    6,    0,  0.3764790644750000E-05,  0.0000000000000000E+00,  0.9895772777120001E-08,  0.0000000000000000E+00             
    6,    1,  0.1534299939450000E-05, -0.2572372769060000E-05,  0.1274754309920000E-07,  0.7045465262510000E-08             
    6,    2, -0.4344947614360000E-05, -0.2179508196430000E-05,  0.1105946837220000E-07,  0.1049997314960000E-07             
    6,    3, -0.3281826540120000E-05, -0.3498629074520000E-05,  0.1766234554490000E-07,  0.1825898282250000E-07             
    6,    4,  0.3719212812300000E-06, -0.4057616020010000E-05,  0.2302039174600000E-07,  0.2197107759160000E-07             
    6,    5,  0.1428350818720000E-05, -0.1028337447110000E-04,  0.2133709863560000E-07,  0.2147780126790000E-07             
    6,    6, -0.4710224540580000E-05,  0.7226625563380000E-05,  0.1096184041030000E-07,  0.1061332015870000E-07             
    7,    0,  0.5613306564030000E-05,  0.0000000000000000E+00,  0.1571726829120000E-07,  0.0000000000000000E+00             
    7,    1,  0.7533479976340000E-05, -0.1315395632880000E-06,  0.2149405261540000E-07,  0.9362290612330000E-08             
    7,    2, -0.6607790461200000E-06,  0.2378643836910000E-05,  0.1516836130510000E-07,  0.1232326993140000E-07             
    7,    3,  0.5746523150240001E-06,  0.2364465702890000E-05,  0.1844273100010000E-07,  0.1806666578320000E-07             
    7,    4, -0.8996053821650000E-06,  0.8437583302860000E-06,  0.2902018234750000E-07,  0.2937054043610000E-07             
    7,    5, -0.2791930006380000E-06,  0.1089133556750000E-05,  0.3538844949520000E-07,  0.3452133244330000E-07             
    7,    6, -0.1034763552330000E-05,  0.1031729865290000E-05,  0.3209493285460000E-07,  0.3166972342950000E-07             
    7,    7, -0.1784999963400000E-05, -0.1603119725980000E-05,  0.1522720339980000E-07,  0.1412463348970000E-07             
    8,    0,  0.2319539055200000E-05,  0.0000000000000000E+00,  0.2008330987620000E-07,  0.0000000000000000E+00             
    8,    1, -0.3986594931460000E-07,  0.1117571578840000E-05,  0.2432256793660000E-07,  0.1169939799990000E-07             
    8,    2,  0.3012381769960000E-05,  0.1942966031460000E-05,  0.2284321621960000E-07,  0.1904255830300000E-07             
    8,    3, -0.1884603202680000E-05,  0.9536925886740001E-06,  0.1909257356500000E-07,  0.1958675981060000E-07             
    8,    4,  0.3387330821240000E-05, -0.5025755765010000E-06,  0.2974698172480000E-07,  0.2842413783920000E-07             
    8,    5, -0.1178682370220000E-05,  0.2841672454530000E-05,  0.4737223836780000E-07,  0.4701438695810000E-07             
    8,    6, -0.1537688378930000E-05, -0.2176605846410000E-05,  0.5426161290420000E-07,  0.5075989425620000E-07             
    8,    7, -0.1534542361100000E-05,  0.3320540752430000E-05,  0.4672519623730000E-07,  0.4514528247390000E-07             
    8,    8, -0.2526240252780000E-05,  0.2127167921610000E-05,  0.2065048293950000E-07,  0.1815214703810000E-07             
    9,    0, -0.3542415821360000E-05,  0.0000000000000000E+00,  0.1893580396810000E-07,  0.0000000000000000E+00             
    9,    1,  0.2007566533730000E-05,  0.9172757465110000E-07,  0.2579921975750000E-07,  0.1359558138520000E-07             
