TIME,TIME_SYSTEM,TARGET_ID,STATION,ANGLE_1,ANGLE_1_GODOT,ANGLE_2,ANGLE_2_GODOT,DOPPLER_INSTANTANEOUS,DOPPLER_INSTANTANEOUS_GODOT,RANGE,RANGE_GODOT,TDM,TRUE_VX,TRUE_VY,TRUE_VZ,TRUE_X,TRUE_Y,TRUE_Z,XSTAT_VX,XSTAT_VY,XSTAT_VZ,XSTAT_X,XSTAT_Y,XSTAT_Z
2023-08-17 10:04:52.903,TAI,00039451,RR01,4.418232112688671,4.409919992436823,0.9665791770542034,0.9709339131114656,1.31617105863223,1.3160050190715724,597.447834158595,597.4748078762163,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.5069848821586533,5.2968907548786515,-4.869701185023813,-1543.4207876619664,4125.62804996717,5268.150325135951,-0.26531560770608975,-0.12285321880547813,0.0006098634102499175,-1673.4511009650387,3638.5694629737554,4947.459552364553
2023-08-17 10:05:00.903,TAI,00039451,RR01,4.247695230206027,4.250857390148251,0.9300700673787102,0.9360803981157563,1.99268140621613,1.9924427225378294,610.72957934508,610.7397391445965,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.4917286776544127,5.256165799498518,-4.921391667877484,-1563.415773028839,4167.840553417051,5228.985697109114,-0.2652438939437723,-0.12300797526232927,0.0006097050209701859,-1675.5733390318117,3637.5860181695994,4947.464430638416
2023-08-17 10:05:08.903,TAI,00039451,RR01,4.108909646950347,4.115216027622095,0.8939085410826761,0.8923534194178278,2.61816868551853,2.6180996937166308,629.199590239314,629.2206090558112,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.4762763212637915,5.2150268084218,-4.972695731839453,-1583.2879234210716,4209.725599082752,5189.409088219364,-0.26517208991374525,-0.1231626898571536,0.0006095464242018318,-1677.6950030275027,3636.601335481154,4947.4693076443355
2023-08-17 10:05:16.903,TAI,00039451,RR01,4.0014078745102735,4.002147109825527,0.8418851154542158,0.8436086614964423,3.18488758837534,3.1844078647773815,652.457851355577,652.4730843335527,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.4606290208962758,5.17347700036752,-5.023609311358367,-1603.0356744464523,4251.279887512085,5149.42360613672,-0.26510019564045173,-0.12331736253728363,0.0006093876199988395,-1679.8160922298619,3635.615415243621,4947.474183380649
2023-08-17 10:05:24.903,TAI,00039451,RR01,3.916732513519064,3.908722808333732,0.8028229932590761,0.7929104562551034,3.68634606230065,3.688148453094563,679.993400817828,680.0062323445364,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.4447879995377195,5.131519626504285,-5.074128371545666,-1622.6574714281387,4292.500145117816,5109.0323909252575,-0.26502821114835556,-0.1234719932500888,0.0006092286084152417,-1681.936605917143,3634.6282577924817,4947.479057845701
2023-08-17 10:05:32.903,TAI,00039451,RR01,3.830424111450149,3.8315196703563186,0.7446160948421339,0.7424165340763239,4.12935216254706,4.130339930371947,711.320825927324,711.321215870991,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.4287544950315763,5.089157969957261,-5.124248908410857,-1642.1517695249318,4333.383124438245,5068.238614793655,-0.26495613646195093,-0.12362658194295272,0.000609069389505141,-1684.0565433677975,3633.639863463636,4947.483931037831
2023-08-17 10:05:40.903,TAI,00039451,RR01,3.762775026882061,3.7673862664318656,0.7033447669198359,0.6935039796048043,4.51505091255298,4.514855016658957,745.921302138683,745.9396845021829,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.412529764516756,5.046395353726156,-5.1739669436355475,-1661.517033852209,4373.9256043129635,5027.045482137497,-0.2648839716057733,-0.12378112856325071,0.0006089099633227346,-1686.1759038601622,3632.6502325935503,4947.488802955381
2023-08-17 10:05:48.903,TAI,00039451,RR01,3.7051691222307004,3.7136930864920856,0.6531947483402873,0.6469633666358857,4.84670869133706,4.847152576917049,783.404073043364,783.4213741720291,/home/anarykov/godot/files/inputOD00015/00001_RR01_20230817T100415_20230817T100511.tdm,-2.3961150745502096,5.00323512271186,-5.223278536133621,-1680.751739597458,4414.124390311771,4985.456228673223,-0.2648117166043745,-0.12393563305840262,0.0006087503299222579,-1688.2946866731843,3631.6593655189195,4947.493673596693
2023-08-17 22:19:24.549,TAI,00039451,RR01,3.5739708917565243,3.567795976203941,0.5788682900417466,0.5810728982793837,-5.48855461371506,-5.487509528091303,845.747567968498,845.7256213688336,/home/anarykov/godot/files/inputOD00015/00002_RR01_20230817T221847_20230817T222007.tdm,-1.942249962573666,5.09150868940857,5.325084150420245,2082.183311643082,-4342.157563840684,4896.88003632431,0.2557674241235472,0.1416627970205206,-0.0005887441338744073,1953.9653610982043,-3507.290838434634,4939.424327667149
2023-08-17 22:19:32.549,TAI,00039451,RR01,3.5916934214570606,3.601629808375677,0.6484286765079467,0.6253391264503745,-5.25065666507789,-5.251033618811908,802.719945712556,802.7471850595305,/home/anarykov/godot/files/inputOD00015/00002_RR01_20230817T221847_20230817T222007.tdm,-1.9626251869414404,5.133956744085136,5.276642762395978,2066.5637078787367,-4301.2554328029955,4939.287221631783,0.2556847391036955,0.14181198013992322,-0.0005885605230107328,1956.0111698092212,-3506.1569392937854,4939.419618448386
